rid,city,candidate,gender,party,votes,total,won,year,position
BARMM,BASILAN,"HATAMAN-SALLIMAN, HADJIMAN SABBIHI",1,PDPLBN,"121,457","205,760",1,2022,Governor
BARMM,BASILAN,"AKBAR, ALFIYA JAINUDDIN",0,LAKAS,83056,"205,760",0,2022,Governor
BARMM,BASILAN,"AMIRIL, WALID ABDURAHMAN",1,PDDS,630,"205,760",0,2022,Governor
BARMM,BASILAN,"GARINGAN, ISMAEL SERGIO",1,IND,617,"205,760",0,2022,Governor
BARMM,BASILAN,"ALANO, YUSOP TANDUH",1,PDPLBN,"146,013","185,947",1,2022,Vice-Governor
BARMM,BASILAN,"SALI, PAISAL AWAL",1,UBJP,"35,820","185,947",0,2022,Vice-Governor
BARMM,BASILAN,"JAMIRI, RAHMA HAN",1,IND,2069,"185,947",0,2022,Vice-Governor
BARMM,BASILAN,"ABDIL, MAJID ALAJA",1,IND,2045,"185,947",0,2022,Vice-Governor
BARMM,BASILAN,"SALAIN, NASSER ARAJA-A",1,PDPLBN,53035,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"HATAMAN, AHMED IBN DJALIV TURABIN",1,BUP,50071,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"MUARIP, MOUMAR LIPAI",1,PDPLBN,45833,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"ISMAEL, AHMAD ALI SALAJIN",1,UBJP,39449,"188,388",1,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"ISMAEL, AINA BASIR",0,UBJP,"33,991","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"SANSON, ROSEBELL LAPING",0,PDPLBN,"32,951","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"TUBONGBANUA, MARIA JENNESA SANTOS",0,IND,"17,978","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"AKBAR, OMAR MUTAMAD",1,IND,"16,313","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"SAHI, DANNY OMAR",1,LP,"7,328","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"GARINGAN, ISMAEL SERGIO",1,IND,"1,936","111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"TABEROA, ANWAR TAHIL",1,IND,818,"111,315",0,2022,"1st District, Provincial Council Member"
BARMM,BASILAN,"SALLIMAN, JIMAEL SALAM DATUMANONG",1,PDPLBN,"57,289","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"HATAMAN, MARWAN KANNAMA",1,PDPLBN,"53,003","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"ARAMIL, ABDURASIL SARABI",1,PDPLBN,"50,693","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"ASARUL, NASSER AMIN",1,PDPLBN,"48,503","365,781",1,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"KALLAHAL, DURIE SAHASAL",0,LP,"47,568","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"SALI, MONAISA ULLOH",0,UBJP,"40,594","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"IDRIS, KASIM HASADIN",1,UBJP,"28,300","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"MAJIRUL, HAMDIE TAGUNI",1,UBJP,"22,389","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"ABDULLA, MOHAMMAD BIRAL",1,IND,"11,135","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"AKALUN, IBNOHAIR KILLOT",1,IND,"2,805","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"REYES, ALBERTO SIÑAGAN",1,IND,"2,138","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,BASILAN,"JALIL, SHING AYDAL",0,IND,"1,364","365,781",0,2022,"2nd District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ADIONG, MAMINTAL JR. ALONTO",1,LAKAS,"353,769","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"USMAN, GAPOR AMEROL",1,RP,"67,605","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"SARANGANI, AMERODDIN MATOA-SAUMAY",1,UMMAH,"42,958","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"GARINGAN, ISMAEL SERGIO",1,IND,"5,705","476,681",1,2022,Governor
BARMM,LANAO DEL SUR,"IBRAHIM, ALIM AMATE",1,IND,"2,200","476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"BANOCAG, CAMAR JR. SUMANGRAN-ALONTO",1,IND,"1,386","476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"LUCMAN, JAHLALODIN MACOD",1,WPP,"1,353","476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"MAONGCO, ANSARY PACALNA",0,PDR,659,"476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"DIDA-AGUN, HABER BEDAR",1,IND,639,"476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"MOLIA, HAMZA MIMBALA",1,PDDS,407,"476,681",0,2022,Governor
BARMM,LANAO DEL SUR,"ADIONG, MOHAMMAD KHALID RAKI-IN",1,LAKAS,"356,886","457,167",1,2022,Vice-Governor
BARMM,LANAO DEL SUR,"MANALAO, BASHER DIMALAANG",1,RP,"57,229","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"AMATE, SAAD IBRAHIM",1,PDPLBN,"30,752","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"ABDUL, NADJER PACASUM",1,PRP,"6,002","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"ALAWI, ABULKHAIR SALIM",1,IND,"3,688","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"ALA, HOGECAR HOYOHOY",1,PDR,"1,378","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"MANTA, CACAYADUN LUCMAN",1,IND,"1,232","457,167",0,2022,Vice-Governor
BARMM,LANAO DEL SUR,"MUNDER, ALZAIF TOCALO",1,LAKAS,"144,964","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"SANI, SHIRALI SAMPACO",0,LAKAS,"130,214","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"GANDAMRA, ANSARI USMAN",0,PDPLBN,"128,884","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"GANDA, NASSER JR. DACULA",1,LAKAS,"113,840","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MANGOTARA, ZORAB MAROHOMBSAR",1,LAKAS,"109,200","993,460",1,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DIPATUAN, NORONISA ABDULRASHID",1,UMMAH,"79,264","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"DIMAPINTO, ABDULNASSER MANGONDAYA",1,RP,"61,936","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"ABDULKAREEM, MUHAMMADNABIL MAGARANG",1,AKSYON,"57,221","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"BALENTI, MALO HADJI JAFAAR MASCARA",1,UMMAH,"36,118","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"MACARAMPAT, ABDUL BASIT MATUAN",1,PRP,"13,521","993,460",0,2022,"1st District, Provincial Council Member"
BARMM,LANAO DEL SUR,"HASSAN, PADEL MAUNTE",1,IND,"13,447","993,460",0,2022,"1st District, Provincial Council Member"
